Year,psa_rate_per_100k_pop,lga_rate_per_100_pop,incidents_recorded,LGA,division_code,division_desc,subdivision_code,subdivision_desc,subgroup_code,subgroup_desc,police_region
2025,106.268264316,280.335721778,44,Murrindindi,B,Property and deception offences,B40,Theft,B49,Other theft,2 Eastern
2025,68.241547077,68.241547077,87,Greater Bendigo,B,Property and deception offences,B10,Arson,B11,Cause damage by fire,4 Western
2025,17.256483169,17.256483169,22,Greater Bendigo,B,Property and deception offences,B10,Arson,B19,Other fire related offences,4 Western
2025,583.58288535,583.58288535,744,Greater Bendigo,B,Property and deception offences,B20,Property damage,B21,Criminal damage,4 Western
2025,59.613305493,59.613305493,76,Greater Bendigo,B,Property and deception offences,B20,Property damage,B22,Graffiti,4 Western
2025,7.843855986,7.843855986,10,Greater Bendigo,B,Property and deception offences,B20,Property damage,B29,Other property damage offences,4 Western
2025,69.810318274,69.810318274,89,Greater Bendigo,B,Property and deception offences,B30,Burglary/Break and enter,B311,Residential aggravated burglary,4 Western
2025,184.330615668,184.330615668,235,Greater Bendigo,B,Property and deception offences,B30,Burglary/Break and enter,B321,Residential non-aggravated burglary,4 Western
2025,0.784385599,0.784385599,1,Greater Bendigo,B,Property and deception offences,B30,Burglary/Break and enter,B329,Unknown non-aggravated burglary,4 Western
2025,204.724641232,204.724641232,261,Greater Bendigo,B,Property and deception offences,B40,Theft,B41,Motor vehicle theft,4 Western
2025,508.281867886,508.281867886,648,Greater Bendigo,B,Property and deception offences,B40,Theft,B42,Steal from a motor vehicle,4 Western
2025,87.066801443,87.066801443,111,Greater Bendigo,B,Property and deception offences,B40,Theft,B44,Theft of a bicycle,4 Western
2025,485.534685526,485.534685526,619,Greater Bendigo,B,Property and deception offences,B40,Theft,B49,Other theft,4 Western
2025,10.581700863,10.581700863,19,Boroondara,B,Property and deception offences,B10,Arson,B11,Cause damage by fire,2 Eastern
2025,279.022743814,279.022743814,501,Boroondara,B,Property and deception offences,B20,Property damage,B21,Criminal damage,2 Eastern
2025,51.794641067,51.794641067,93,Boroondara,B,Property and deception offences,B20,Property damage,B22,Graffiti,2 Eastern
2025,4.455452995,4.455452995,8,Boroondara,B,Property and deception offences,B20,Property damage,B29,Other property damage offences,2 Eastern
2025,227.785034371,227.785034371,409,Boroondara,B,Property and deception offences,B30,Burglary/Break and enter,B311,Residential aggravated burglary,2 Eastern
2025,359.220897724,359.220897724,645,Boroondara,B,Property and deception offences,B30,Burglary/Break and enter,B321,Residential non-aggravated burglary,2 Eastern
2025,1.670794873,1.670794873,3,Boroondara,B,Property and deception offences,B30,Burglary/Break and enter,B329,Unknown non-aggravated burglary,2 Eastern
2025,265.656384829,265.656384829,477,Boroondara,B,Property and deception offences,B40,Theft,B41,Motor vehicle theft,2 Eastern
2025,1021.969530735,1021.969530735,1835,Boroondara,B,Property and deception offences,B40,Theft,B42,Steal from a motor vehicle,2 Eastern
2025,56.250094062,56.250094062,101,Boroondara,B,Property and deception offences,B40,Theft,B44,Theft of a bicycle,2 Eastern
2025,403.775427675,403.775427675,725,Boroondara,B,Property and deception offences,B40,Theft,B49,Other theft,2 Eastern
2025,32.132080556,32.132080556,64,Brimbank,B,Property and deception offences,B10,Arson,B11,Cause damage by fire,1 North West Metro
2025,1.506191276,1.506191276,3,Brimbank,B,Property and deception offences,B10,Arson,B19,Other fire related offences,1 North West Metro
2025,559.801090934,559.801090934,1115,Brimbank,B,Property and deception offences,B20,Property damage,B21,Criminal damage,1 North West Metro
2025,23.0949329,23.0949329,46,Brimbank,B,Property and deception offences,B20,Property damage,B22,Graffiti,1 North West Metro
2025,4.518573828,4.518573828,9,Brimbank,B,Property and deception offences,B20,Property damage,B29,Other property damage offences,1 North West Metro
2025,77.317818838,77.317818838,154,Brimbank,B,Property and deception offences,B30,Burglary/Break and enter,B311,Residential aggravated burglary,1 North West Metro
2025,271.11442969,271.11442969,540,Brimbank,B,Property and deception offences,B30,Burglary/Break and enter,B321,Residential non-aggravated burglary,1 North West Metro
2025,1.506191276,1.506191276,3,Brimbank,B,Property and deception offences,B30,Burglary/Break and enter,B329,Unknown non-aggravated burglary,1 North West Metro
2025,523.15043655,523.15043655,1042,Brimbank,B,Property and deception offences,B40,Theft,B41,Motor vehicle theft,1 North West Metro
2025,1522.759380093,1522.759380093,3033,Brimbank,B,Property and deception offences,B40,Theft,B42,Steal from a motor vehicle,1 North West Metro
2025,66.774479905,66.774479905,133,Brimbank,B,Property and deception offences,B40,Theft,B44,Theft of a bicycle,1 North West Metro
2025,676.781946708,676.781946708,1348,Brimbank,B,Property and deception offences,B40,Theft,B49,Other theft,1 North West Metro
2025,44.495611827,44.495611827,17,Campaspe,B,Property and deception offences,B10,Arson,B11,Cause damage by fire,4 Western
2025,28.791278241,28.791278241,11,Campaspe,B,Property and deception offences,B10,Arson,B19,Other fire related offences,4 Western
2025,738.103678545,738.103678545,282,Campaspe,B,Property and deception offences,B20,Property damage,B21,Criminal damage,4 Western
2025,26.17388931,26.17388931,10,Campaspe,B,Property and deception offences,B20,Property damage,B22,Graffiti,4 Western
2025,5.234777862,5.234777862,2,Campaspe,B,Property and deception offences,B20,Property damage,B29,Other property damage offences,4 Western
2025,57.582556482,57.582556482,22,Campaspe,B,Property and deception offences,B30,Burglary/Break and enter,B311,Residential aggravated burglary,4 Western
2025,282.678004549,282.678004549,108,Campaspe,B,Property and deception offences,B30,Burglary/Break and enter,B321,Residential non-aggravated burglary,4 Western
2025,177.982447309,177.982447309,68,Campaspe,B,Property and deception offences,B40,Theft,B41,Motor vehicle theft,4 Western
2025,429.251784686,429.251784686,164,Campaspe,B,Property and deception offences,B40,Theft,B42,Steal from a motor vehicle,4 Western
2025,128.25205762,128.25205762,49,Campaspe,B,Property and deception offences,B40,Theft,B44,Theft of a bicycle,4 Western
2025,492.06911903,492.06911903,188,Campaspe,B,Property and deception offences,B40,Theft,B49,Other theft,4 Western
